id,participant1,participant2,totalSnips,commonSnips,uncommonSnips,heterozygotes,homozygotes,dashes,iAcc,iUnAcc
0,,,,,,,,,,
1,2,1,528428,260364,113760,147026,374124,7100,0,178
2,3,1,521607,58682,366424,96501,425106,0,0,0
3,4,1,537518,58607,382108,96803,440715,0,0,0
4,5,1,576084,214656,187653,163617,402309,4963,0,5195
5,6,1,610906,45006,450560,100188,495566,13334,0,1818
6,7,1,610993,44410,448100,100374,492510,16221,0,1888
7,8,1,610973,44293,445219,101781,489512,17824,0,1856
8,9,1,610865,44770,449893,99666,494663,14745,0,1791
9,10,1,610921,44963,449256,100789,494219,14084,0,1829
10,11,1,611044,44663,448972,99211,493635,16281,0,1917
11,12,1,610881,44716,449885,101314,494601,13161,0,1805
12,13,1,587362,213680,188153,164272,401833,5019,0,16238
13,14,1,610982,44676,446811,100815,491487,16799,0,1881
14,15,1,575851,220396,199815,146754,420211,3877,0,5009
15,3,2,521607,59147,365959,96501,425106,0,0,0
16,4,2,537518,58882,381833,96803,440715,0,0,0
17,5,2,576084,221003,181306,163617,402309,4963,0,5195
18,6,2,610906,45165,450401,100188,495566,13334,0,1818
19,7,2,610993,44580,447930,100374,492510,16221,0,1888
20,8,2,610973,44626,444886,101781,489512,17824,0,1856
21,9,2,610865,45239,449424,99666,494663,14745,0,1791
22,10,2,610921,45233,448986,100789,494219,14084,0,1829
23,11,2,611044,45213,448422,99211,493635,16281,0,1917
24,12,2,610881,45129,449472,101314,494601,13161,0,1805
25,13,2,587362,220240,181593,164272,401833,5019,0,16238
26,14,2,610982,44728,446759,100815,491487,16799,0,1881
27,15,2,575851,238520,181691,146754,420211,3877,0,5009
28,4,3,537518,367198,73517,96803,440715,0,0,0
29,5,3,576084,60166,342143,163617,402309,4963,0,5195
30,6,3,610906,76779,418787,100188,495566,13334,0,1818
31,7,3,610993,75951,416559,100374,492510,16221,0,1888
32,8,3,610973,75756,413756,101781,489512,17824,0,1856
33,9,3,610865,76637,418026,99666,494663,14745,0,1791
34,10,3,610921,76400,417819,100789,494219,14084,0,1829
35,11,3,611044,76354,417281,99211,493635,16281,0,1917
36,12,3,610881,76405,418196,101314,494601,13161,0,1805
37,13,3,587362,59918,341915,164272,401833,5019,0,16238
38,14,3,610982,75976,415511,100815,491487,16799,0,1881
39,15,3,575851,60912,359299,146754,420211,3877,0,5009
40,5,4,576084,60200,342109,163617,402309,4963,0,5195
41,6,4,610906,76693,418873,100188,495566,13334,0,1818
42,7,4,610993,76303,416207,100374,492510,16221,0,1888
43,8,4,610973,75470,414042,101781,489512,17824,0,1856
44,9,4,610865,76665,417998,99666,494663,14745,0,1791
45,10,4,610921,76418,417801,100789,494219,14084,0,1829
46,11,4,611044,76180,417455,99211,493635,16281,0,1917
47,12,4,610881,76614,417987,101314,494601,13161,0,1805
48,13,4,587362,59862,341971,164272,401833,5019,0,16238
49,14,4,610982,75948,415539,100815,491487,16799,0,1881
50,15,4,575851,60564,359647,146754,420211,3877,0,5009
51,6,5,610906,53164,442402,100188,495566,13334,0,1818
52,7,5,610993,52759,439751,100374,492510,16221,0,1888
53,8,5,610973,52802,436710,101781,489512,17824,0,1856
54,9,5,610865,53271,441392,99666,494663,14745,0,1791
55,10,5,610921,53120,441099,100789,494219,14084,0,1829
56,11,5,611044,53022,440613,99211,493635,16281,0,1917
57,12,5,610881,53148,441453,101314,494601,13161,0,1805
58,13,5,587362,299886,101947,164272,401833,5019,0,16238
59,14,5,610982,52866,438621,100815,491487,16799,0,1881
60,15,5,575851,309128,111083,146754,420211,3877,0,5009
61,7,6,610993,427905,64605,100374,492510,16221,0,1888
62,8,6,610973,425089,64423,101781,489512,17824,0,1856
63,9,6,610865,429061,65602,99666,494663,14745,0,1791
64,10,6,610921,428546,65673,100789,494219,14084,0,1829
65,11,6,611044,427424,66211,99211,493635,16281,0,1917
66,12,6,610881,429053,65548,101314,494601,13161,0,1805
67,13,6,587362,52968,348865,164272,401833,5019,0,16238
68,14,6,610982,426453,65034,100815,491487,16799,0,1881
69,15,6,575851,53935,366276,146754,420211,3877,0,5009
70,8,7,610973,423132,66380,101781,489512,17824,0,1856
