id,participant1,participant2,totalSnips,commonSnips,uncommonSnips,heterozygotes,homozygotes,dashes,iAcc,iUnAcc
71,9,7,610865,426500,68163,99666,494663,14745,0,1791
72,10,7,610921,426374,67845,100789,494219,14084,0,1829
73,11,7,611044,425384,68251,99211,493635,16281,0,1917
74,12,7,610881,427274,67327,101314,494601,13161,0,1805
75,13,7,587362,52587,349246,164272,401833,5019,0,16238
76,14,7,610982,424620,66867,100815,491487,16799,0,1881
77,15,7,575851,53279,366932,146754,420211,3877,0,5009
78,9,8,610865,424322,70341,99666,494663,14745,0,1791
79,10,8,610921,424060,70159,100789,494219,14084,0,1829
80,11,8,611044,422751,70884,99211,493635,16281,0,1917
81,12,8,610881,424534,70067,101314,494601,13161,0,1805
82,13,8,587362,52257,349576,164272,401833,5019,0,16238
83,14,8,610982,422204,69283,100815,491487,16799,0,1881
84,15,8,575851,53177,367034,146754,420211,3877,0,5009
85,10,9,610921,428014,66205,100789,494219,14084,0,1829
86,11,9,611044,426638,66997,99211,493635,16281,0,1917
87,12,9,610881,428118,66483,101314,494601,13161,0,1805
88,13,9,587362,52887,348946,164272,401833,5019,0,16238
89,14,9,610982,426075,65412,100815,491487,16799,0,1881
90,15,9,575851,53849,366362,146754,420211,3877,0,5009
91,11,10,611044,426586,67049,99211,493635,16281,0,1917
92,12,10,610881,428166,66435,101314,494601,13161,0,1805
93,13,10,587362,52888,348945,164272,401833,5019,0,16238
94,14,10,610982,425562,65925,100815,491487,16799,0,1881
95,15,10,575851,53719,366492,146754,420211,3877,0,5009
96,12,11,610881,426566,68035,101314,494601,13161,0,1805
97,13,11,587362,52810,349023,164272,401833,5019,0,16238
98,14,11,610982,424314,67173,100815,491487,16799,0,1881
99,15,11,575851,53940,366271,146754,420211,3877,0,5009
100,13,12,587362,52642,349191,164272,401833,5019,0,16238
101,14,12,610982,425918,65569,100815,491487,16799,0,1881
102,15,12,575851,53622,366589,146754,420211,3877,0,5009
103,14,13,610982,52520,438967,100815,491487,16799,0,1881
104,15,13,575851,307783,112428,146754,420211,3877,0,5009
105,15,14,575851,53476,366735,146754,420211,3877,0,5009
